title,bag_of_words
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
Apple iPhone 8 64Gb à¦¬à¦¿à¦¶à¦¾à¦² à¦®à§‚à¦²à§à¦¯ à¦›à¦¾à§œ (Used),Basundhara  Dhaka Used Apple iPhone 8 mobiles Original 
Apple iPhone 12 Pro Max Fresh (Used),Uttara  Dhaka Used Apple iPhone 12 Pro Max mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
Apple iPhone 11 Pro Max Fresh (Used),Chawkbazar  Chattogram Used Apple iPhone 11 Pro Max mobiles Original 
Eastblue Card Phone (New),Demra  Dhaka New Other Brand Other model mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
Xiaomi Mi 10 (5G) 8/256 (Used),ZindaBazar  Sylhet Used Xiaomi Other model mobiles Original 
Realme 7 Pro 8/128 (Used),Sirajganj  Rajshahi Division Used Realme 7 Pro mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
Infinix Smart 5 (Used),Mirpur  Dhaka Used Infinix Other Model mobiles Original 
"Multifunction Tool Pen, 6 in 1 with Ballpoint Pen-à§¨ à¦Ÿà¦¿",Demra  Dhaka New Xiaomi Other model mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
OPPO F5 4/64GB Boxed (New),Mirpur  Dhaka New OPPO Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
Samsung S20 Fe 8/128 White (Used),Uttara  Dhaka Used Samsung S20 Fe mobiles Original 
Samsung A10s Fixed (Used),Basundhara  Dhaka Used Samsung A10s mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
Apple iPhone 6 64gb (New),Pabna  Rajshahi Division New Apple iPhone 6 mobiles Refurbished 
OPPO A92 8/128 28din official (Used),Uttara  Dhaka Used OPPO A92 mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
Xiaomi Redmi S2 4/64GB BIG OFFER (New),Mirpur  Dhaka New Xiaomi Redmi S2 mobiles Original 
OPPO F1s 4/32 4G (New),Daulatpur  Khulna New OPPO F1s mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
